Node_ID,Nama Fasilitas,Jenis,Type,Lat,Lon,Demand_Ton,Kecamatan_ID,Cost_Gerobak
187,Transporter Wahid,TPST/TPS 3R,TPS,-6.9429833,107.5506148,5.5,25,521074
188,BUMI ASRI,TPST/TPS 3R,TPS,-6.9331714,107.5505268,5.5,25,502353
189,POOL KECAMATAN 26,POOL,POOL,-6.960235266666664,107.65867076666666,0.0,26,0
190,TPS 3R Ciwastra,TPST/TPS 3R,TPS,-6.9621875,107.6659531,5.5,26,434417
191,RSKIA Harapan Bunda,TPST/TPS 3R,TPS,-6.95592329999999,107.661776,5.5,26,500931
192,JAKAPURWA,TPST/TPS 3R,TPS,-6.962595,107.6482832,4.49,26,399977
193,POOL KECAMATAN 27,POOL,POOL,-6.888756059999999,107.58198704000002,0.0,27,0
194,Transporter PT Baraya Lima Sodara,TPST/TPS 3R,TPS,-6.892365,107.5879023,4.13,27,345535
195,SARIMADU,TPST/TPS 3R,TPS,-6.885012,107.5750009,5.5,27,522638
196,RSGM Maranatha,TPST/TPS 3R,TPS,-6.8868119,107.5809667,5.5,27,418895
197,d'botanica Mall Bandung,TPST/TPS 3R,TPS,-6.8931581,107.5851205,5.5,27,424187
198,Universitas Kristen Maranatha,TPST/TPS 3R,TPS,-6.88643329999999,107.5809448,5.5,27,413841
199,POOL KECAMATAN 28,POOL,POOL,-6.953497499999995,107.70583955000001,0.0,28,0
200,Summarecon Mall Bandung,TPST/TPS 3R,TPS,-6.95448669999999,107.6986639,4.52,28,396975
201,Transporter Waste For Change,TPST/TPS 3R,TPS,-6.9525083,107.7130152,4.66,28,427169
202,POOL KECAMATAN 29,POOL,POOL,-6.940639139999993,107.64276559999999,0.0,29,0
203,Rumah Sakit Umum Pindad Bandung,TPST/TPS 3R,TPS,-6.940032,107.6462231,5.5,29,424130
204,Rumah Sakit Khusus Jantung & Pembuluh Darah Paramarta Bandung,TPST/TPS 3R,TPS,-6.94565309999999,107.6405235,5.5,29,479652
205,RS Edelewis,TPST/TPS 3R,TPS,-6.94347369999999,107.6496622,5.5,29,531627
206,GUMURUH,TPST/TPS 3R,TPS,-6.93812049999999,107.6370695,5.49,29,491212
207,BINONGJATI,TPST/TPS 3R,TPS,-6.9359164,107.6403497,5.5,29,447401
208,TPA SARIMUKTI,TPA,TPA,-6.8005,107.3466,0.0,-1,0
